,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Abilene Christian University,1.0,30574,Most difficult,17,3.91,715.0,700.0,49792,,,34850,,,10350,71,26051,Not reported
1,Abraham Baldwin Agricultural College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
2,Academy of Art University,1.0,30574,Most difficult,17,3.91,715.0,700.0,52532,,,29190,,,17510,32,12684,35862
3,Adams State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,22893.0,33909.0,,9440.0,20456.0,8782,70,14726,22822
4,Adelphi University,1.0,30574,Most difficult,17,3.91,715.0,700.0,58710,,,38660,,,16030,44,22900,34980
5,Adler Graduate School,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
6,Adler University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
7,Adrian College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,77,27013,27741
8,AdventHealth University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
9,Agnes Scott College,1.0,30574,Most difficult,17,3.91,715.0,700.0,57505,,,42690,,,12670,84,37669,30850
10,Air Force Institute of Technology,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
11,Alabama A&M University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
12,Alabama State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,22260.0,30588.0,,11068.0,19396.0,6050,81,17575,3376
13,Alaska Bible College,1.0,30574,Most difficult,17,3.91,715.0,700.0,15800,,,9600,,,5700,Not reported,Not reported,Not reported
14,Alaska Pacific University,1.0,30574,Most difficult,17,3.91,715.0,700.0,34670,,,20830,,,8230,Not reported,Not reported,Not reported
15,Albany College of Pharmacy and Health Sciences,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,54,16398,Not reported
16,Albany Law School,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
17,Albany Medical College,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
18,Albany State University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,15202.0,28278.0,,6726.0,19802.0,8476,71,4838,Not reported
