,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Abilene Christian University,1,3670.0,Moderately difficult,51.0,3.62,557.5,566.0,49792.0,,,34850.0,,,10350.0,71.0,26051.0,
1,Adams State University,0,1991.0,Moderately difficult,99.0,3.18,480.0,495.0,,22893.0,33909.0,,9440.0,20456.0,8782.0,70.0,14726.0,22822.0
2,Adelphi University,1,5391.0,Moderately difficult,74.0,3.52,590.0,586.0,58710.0,,,38660.0,,,16030.0,44.0,22900.0,34980.0
3,Adrian College,1,1647.0,Moderately difficult,56.0,3.23,,,,,,,,,,77.0,27013.0,27741.0
4,Agnes Scott College,1,996.0,Moderately difficult,70.0,3.76,580.0,627.0,57505.0,,,42690.0,,,12670.0,84.0,37669.0,30850.0
5,Alabama State University,0,3903.0,Minimally difficult,98.0,3.05,465.0,480.0,,22260.0,30588.0,,11068.0,19396.0,6050.0,81.0,17575.0,3376.0
6,Alaska Bible College,1,50.0,Minimally difficult,,Not reported,,,15800.0,,,9600.0,,,5700.0,,,
7,Alaska Pacific University,1,294.0,Minimally difficult,55.0,3.22,,,34670.0,,,20830.0,,,8230.0,,,
8,Albany College of Pharmacy and Health Sciences,1,1078.0,Moderately difficult,67.0,3.60,,,,,,,,,,54.0,16398.0,
9,Albany State University,0,2594.0,Minimally difficult,50.0,2.94,,,,15202.0,28278.0,,6726.0,19802.0,8476.0,71.0,4838.0,
10,Albertus Magnus College,1,1220.0,Moderately difficult,67.0,2.60,,,48892.0,,,32060.0,,,13200.0,,,36908.0
11,Albion College,1,1533.0,Moderately difficult,68.0,3.47,555.0,568.0,62155.0,,,48090.0,,,12380.0,93.0,46451.0,40347.0
12,Albright College,1,1912.0,Moderately difficult,62.0,3.05,,,41382.0,,,25642.0,,,12480.0,89.0,43904.0,36422.0
13,Alcorn State University,0,3172.0,Moderately difficult,79.0,3.18,,,24304.0,,,7084.0,,,10374.0,76.0,6962.0,33766.0
14,Alfred State College,0,3737.0,Moderately difficult,63.0,85,535.0,534.0,,25532.0,29402.0,,8570.0,12440.0,12570.0,54.0,10977.0,32052.0
15,Alfred University,1,1671.0,Moderately difficult,63.0,3.10,550.0,550.0,51988.0,,,34770.0,,,12718.0,85.0,32604.0,34224.0
16,Alice Lloyd College,1,598.0,Minimally difficult,6.0,3.55,470.0,515.0,,,,,,,6880.0,66.0,13132.0,10141.0
17,Allegheny College,1,1771.0,Very difficult,64.0,3.51,610.0,620.0,65400.0,,,49260.0,,,12640.0,92.0,45564.0,
18,Allen College,1,341.0,Moderately difficult,,Not reported,,,32468.0,,,19052.0,,,7280.0,0.0,,
19,Allen University,1,827.0,Minimally difficult,72.0,Not reported,,,25920.0,,,13040.0,,,6880.0,70.0,7025.0,13037.0
20,Alliant International University,1,168.0,Minimally difficult,,Not reported,,,,,,17510.0,,,,64.0,13545.0,
21,Alma College,1,1426.0,Moderately difficult,64.0,3.53,555.0,574.0,54021.0,,,40258.0,,,10998.0,75.0,32849.0,39081.0
22,Alvernia University,1,2323.0,Moderately difficult,74.0,3.33,,,49530.0,,,33640.0,,,11890.0,68.0,22520.0,51958.0
23,Alverno College,1,1219.0,Moderately difficult,67.0,3.12,,,40693.0,,,28302.0,,,8546.0,,25440.0,36994.0
24,Amberton University,1,231.0,Minimally difficult,,Not reported,,,,,,13020.0,,,,,,
25,American Baptist College,1,152.0,Noncompetitive,82.0,Not reported,,,14387.0,,,9417.0,,,4320.0,40.0,10412.0,9743.0
26,American International College,1,1372.0,Minimally difficult,72.0,2.91,495.0,501.0,52480.0,,,35680.0,,,14100.0,72.0,26137.0,35587.0
27,American Jewish University,1,,Minimally difficult,,Not reported,,,,,,,,,,,,
